name,has_nickname,is_nickname,popularity_freq
gwen,True,True,3.25
dena,False,True,3.25
kali,False,True,3.25
luella,True,False,3.23
barrett,False,True,3.22
bradford,True,True,3.21
dina,False,True,3.19
reuben,True,False,3.19
jakob,True,False,3.18
chelsey,True,False,3.15
van,False,True,3.09
randi,False,True,3.08
zachariah,True,False,3.07
arielle,True,False,3.03
ola,False,True,3.03
hillary,True,False,3.02
debora,True,False,3.01
haylee,True,True,3.01
cherie,False,True,3.0
angelique,False,True,3.0
cathleen,True,True,2.99
zachery,True,False,2.98
elisha,True,False,2.96
polly,False,True,2.96
leanne,True,False,2.96
wilfred,True,False,2.95
dick,True,True,2.93
eve,False,True,2.89
stevie,False,True,2.86
candy,False,True,2.86
tobias,True,False,2.81
cyrus,True,False,2.8
kris,True,True,2.79
stephan,True,False,2.78
lexi,False,True,2.76
nell,False,True,2.76
greta,False,True,2.75
elvira,True,False,2.72
selma,True,True,2.71
sondra,True,False,2.71
ari,False,True,2.7
freddy,False,True,2.68
margo,False,True,2.67
winnie,True,True,2.67
arabella,True,True,2.65
ed,False,True,2.64
hilary,False,True,2.63
rhoda,True,False,2.6
timmy,False,True,2.59
thaddeus,True,True,2.58
trudy,True,True,2.56
johnathon,True,True,2.56
staci,False,True,2.55
jess,False,True,2.55
frieda,True,True,2.55
edmond,True,False,2.48
jefferson,True,False,2.41
lamont,True,True,2.41
india,True,False,2.39
matt,False,True,2.39
monte,False,True,2.39
raphael,True,False,2.38
nikolas,True,False,2.37
maddison,True,False,2.34
ericka,False,True,2.34
cali,False,True,2.32
octavia,True,False,2.31
dee,False,True,2.31
rosalyn,True,False,2.3
doug,False,True,2.25
abbie,False,True,2.24
asa,False,True,2.24
sonny,False,True,2.22
roscoe,True,False,2.21
lorie,False,True,2.21
cornelia,True,False,2.21
lauryn,True,False,2.2
rodger,True,True,2.15
louisa,True,False,2.15
malinda,True,False,2.14
elnora,True,False,2.14
aron,True,False,2.12
erwin,True,True,2.12
gerry,False,True,2.11
duncan,True,False,2.1
augustus,True,False,2.09
katy,True,True,2.09
elwood,True,False,2.08
dolly,False,True,2.05
norbert,True,False,2.04
nico,False,True,2.02
phil,False,True,2.01
terrie,False,True,2.01
gus,True,True,2.0
abram,True,False,1.99
paulina,True,False,1.98
derick,True,True,1.97
bryanna,True,False,1.96
magdalena,True,False,1.95
mina,False,True,1.94
augustine,True,False,1.94
jaylin,False,True,1.94
gay,False,True,1.94
scotty,False,True,1.92
dona,False,True,1.9
odell,True,False,1.9
belle,False,True,1.9
lina,False,True,1.9
adolph,False,True,1.88
roxie,False,True,1.86
latisha,True,False,1.84
martina,True,False,1.84
rusty,False,True,1.83
augusta,True,False,1.82
rickie,False,True,1.82
marianna,False,True,1.81
jayme,True,False,1.79
felicity,True,False,1.79
chuck,False,True,1.79
althea,True,False,1.78
libby,False,True,1.78
liza,False,True,1.75
abbey,False,True,1.75
aldo,True,False,1.75
lorelei,True,False,1.75
lorrie,False,True,1.74
aurelia,True,False,1.74
al,False,True,1.73
adaline,True,False,1.73
ned,False,True,1.73
ernie,False,True,1.72
josh,False,True,1.72
hal,False,True,1.68
curt,False,True,1.67
lavonne,True,False,1.67
kaitlynn,True,False,1.64
bart,True,True,1.64
clair,False,True,1.63
hank,False,True,1.62
barney,True,True,1.62
irwin,True,True,1.59
sullivan,True,False,1.59
roseann,True,False,1.59
denny,False,True,1.58
margery,False,True,1.58
minerva,True,True,1.57
marcie,False,True,1.56
tillie,False,True,1.56
rosalinda,True,False,1.55
monty,True,True,1.55
scottie,False,True,1.55
jaelyn,False,True,1.55
edwina,True,False,1.55
bo,False,True,1.51
stephany,False,True,1.51
sanford,True,False,1.5
lessie,False,True,1.5
marietta,True,False,1.5
ronny,True,True,1.5
deanne,True,False,1.49
ursula,True,False,1.48
hester,True,True,1.48
deidre,True,False,1.47
tess,True,True,1.47
aline,True,False,1.46
bertie,False,True,1.46
birdie,False,True,1.44
hiram,True,False,1.44
eddy,True,True,1.43
georgie,False,True,1.43
nita,False,True,1.43
gussie,False,True,1.42
mira,False,True,1.42
clement,True,True,1.41
adela,True,True,1.39
edythe,True,False,1.39
chelsie,False,True,1.38
veda,False,True,1.37
kaye,False,True,1.37
deena,False,True,1.36
judson,True,False,1.36
basil,False,True,1.34
madge,False,True,1.34
kenna,False,True,1.34
roxanna,True,False,1.34
garret,False,True,1.32
maud,True,True,1.32
mitzi,True,True,1.32
seymour,True,False,1.31
clementine,True,False,1.3
shay,False,True,1.3
wilhelmina,True,True,1.3
donny,False,True,1.29
azariah,True,False,1.28
matthias,True,False,1.28
carmelo,True,False,1.28
wilda,True,False,1.28
reggie,True,True,1.27
campbell,True,False,1.27
cordelia,True,True,1.26
